,sentence,entity,entity_tag,entity_pos_start_rel,entity_pos_end_rel,label
10,"27 октября боевики «Талибана» совершили нападение на американскую базу в Кандагаре, убив переводчика-афганца.",боевики «Талибана,PROFESSION,11,28,-1
11,"С 1931 года Самбук работает в Институте оленеводства ВАСХНИЛ, совмещая эту работу с работой в Ботаническом институте.",Самбук,PERSON,12,18,0
12,"«У приложения 110 миллионов загрузок только в США, TikTok представляет собой потенциальную угрозу контрразведки, которую мы не можем игнорировать.»",США,COUNTRY,46,49,0
13,Apple и Samsung нарушали патенты друг друга,Samsung,ORGANIZATION,8,15,-1
14,"Обложку для альбома нарисовал Кайл Ламберт, художник-иллюстратор.",Кайл Ламберт,PERSON,30,42,0
15,"Тем не менее, в пятницу, 8 сентября 2017 года, стартовала мировая премьера фильма Андресса Мускетти (Andrés Muschietti).",Андресса Мускетти,PERSON,82,99,0
16,"Обвинение в убийстве Политковской предъявлено чеченцу Рустаму Махмудову, а его брат, дядя и бывший сотрудник правоохранительных органов обвиняются в причастности к ее смерти.",Рустаму Махмудову,PERSON,54,71,-1
17,"Праздничные торжества начались на Горе Герцеля в Иерусалиме, где собрались многие видные израильские общественные и политические деятели, такие как президент Израиля Шимон Перес и премьер-министр Израиля Биньямин Нетаньяху, также участие в траурной церемонии приняли министры и депутаты кнессета.",премьер-министр Израиля,PROFESSION,180,203,0
18,Однако сразу же после критики в адрес Беларуси последовали санкции.,Беларуси,COUNTRY,38,46,-1
19,Их обвиняют в избиении протестующих во время визита Эрдогана в столицу США в прошлом месяце.,Эрдогана,PERSON,52,60,0
20,"Никто не заинтересован в мирном решении больше, чем президент Трамп.",президент,PROFESSION,52,61,0
21,"В понедельник Стефан сообщил, что ищет кладбище уже за пределами Массачусетса, и выразил сомнение, что Россия согласится принять тело Тамерлана.",Тамерлана,PERSON,134,143,-1
22,"МТБЮ выдвигает обвинения как против Младича, так и против его бывшего союзника — бывшего политического лидера боснийских сербов Радована Караджича.",сербов,NATIONALITY,121,127,0
23,"Анна Политковская была убита выстрелами в грудь, голову и плечо 7 октября 2006 года а Москве.",Анна Политковская,PERSON,0,17,0
24,"Лауреатами в области физики стали бельгийский учёный Франсуа Энглер и британский профессор Питер Хиггс «за теоретическое открытие механизма, который позволяет лучше понять возникновение массы субатомных частиц».",бельгийский,NATIONALITY,34,45,0
25,"Свергнутый президент Египта и бывший лидер исламистской организации «Братья мусульмане» Мухаммед Мурси скончался в зале суда в Каире в понедельник, 17 июня 2019 года, во время слушания его дела о причастности к шпионажу.",лидер исламистской организации «Братья мусульмане,PROFESSION,37,86,0
26,"Новый глава Скотленд-Ярда будет приведена к присяге перед королевой, ей полагается оклад в размере 270 тысяч фунтов в год (без учёта премий).",королевой,PROFESSION,58,67,0
27,"Акция в поддержку журналиста Ивана Голунова, которому правоохранительные органы России подбросили наркотики и пытались сфабриковать уголовное дело, состоялась 12 июня 2019 года, несмотря на признание властями преступления со стороны полицейских и снятия с журналиста всех обвинений.",журналиста,PROFESSION,256,266,0
28,"В Венесуэла|Венесуэле 7 октября 2012 года проходят Президентские выборы в Венесуэле (2012)|президентские выборы, которые, по мнению аналитиков, станут самыми напряженными за всю политическую карьеру действующего лидера страны Чавес, Уго|Уго Чавеса, пробывшего у власти почти 14 лет.",Уго Чавеса,PERSON,237,247,0
29,"Россия заявила, что пойдет на ответные меры в случае любых санкций.",Россия,COUNTRY,0,6,-1
30,"Более 50 тысяч турецких граждан потеряли работу в связи с попыткой переворота, в организации которого правительство обвинило исламского проповедника Фетхуллу Гюлена.",Фетхуллу Гюлена,PERSON,149,164,-1
31,"В частности Винник признался в отмывании денежных средств и иного имущества, приобретенного другими лицами преступным путём, в особо крупном размере, и осуществлении мошеннической деятельности с использованием имеющегося у него доступа к криптовалютной бирже BTC-e.",BTC-e,ORGANIZATION,259,264,0
32,"Нужно сказать, что занявший второе место испанец Давид Херреро из местной испанской команды Хасобео Галисиа, настолько был поглощён погоней и желанием стать победителем этапа, что на одном из поворотов не вписался в него и чудом затормозил перед ограждением дороги.",испанской,COUNTRY,74,83,0
33,"Газета Global Times цитирует недовольных приговором китайцев, которые критиковали судебную систему США и не советовали учить детей в Америке.",Global Times,ORGANIZATION,7,19,0
34,"На 3 декабря, по данным Федерации Спортивного Кикера, в составе сборной уже было тринадцать человек, но остановлюсь немного подробнее на двоих из них, участвующих в категории Disabled: Косоруковой Александре и Рябчиковом Антоне.",Рябчиковом Антоне,PERSON,210,227,1
35,"Как написал Шмидт в недавней колонке в журнале Harvard Business Review, в 2011 году Google обратит пристальное внимание на мобильный рынок.",Google,ORGANIZATION,84,90,0
36,"В средствах массовой информации Германии прокручиваются видеоролики, на которых выступает террорист марроканского происхождения Беккай Харрах, имеющий немецкое граджанство и на чистом немецком языке говорящий о том, что если Германии в течение двух недель не выведет воинские подразделения из Афганистана, то страна погрузится во мрак тероористический акций.",немецкое,COUNTRY,151,159,0
37,"Обе стороны также вновь призвали Россию вывести свои войска из грузинских регионов Абхазии и Южной Осетии в соответствии с соглашением о прекращении огня, заключенным в 2008 году.",грузинских,COUNTRY,63,73,0
38,"Лауреатов в категориях «Артист года», «Лучший автор песен» и «Прорыв года» определяет команда редакторов Apple Music, в которую входят музыкальные критики и знаменитости.",музыкальные критики,PROFESSION,135,154,0
39,Сценаристом эпизода является исполнительный продюсер и шоураннер Стивен Моффат.,шоураннер,PROFESSION,55,64,0
40,"Как сообщил судья округа Галвестон Марк Хенри, в числе пострадавших — офицер полиции, прибывший на место происшествия.",офицер полиции,PROFESSION,70,84,0
41,"Ранее удары по Сирии осудили Россия, Китай и Иран.",Сирии,COUNTRY,15,20,0
42,"Во время полёта «Дискавери», Хокинг выразил благодарность Селлерсу и остальным членам экипажа за их благородный жест.",Селлерсу,PERSON,58,66,1
43,"Фильм снят по книге Эндрю Ходжеса «Алан Тьюринг: Энигма» и описывает жизнь и работу знаменитого английского математика Алана Тьюринга, который помог взломать код немецкой шифровальной машины Энигма во время Второй мировой войны.",немецкой,COUNTRY,162,170,0
44,"В Новой Зеландии хотят знать, почему австралийцы живут лучше нихслева|Джон Ки, — премьер-министр Н. Зеландии",Джон Ки,PERSON,70,77,0
45,"В воскресенье, 12 августа 2018, в Санкт-Петербурге по адресу Малая Невка, дом 25, в рамках гражданской инициативы «Последний адрес» состоялась церемония установки мемориального знака трагически погибшему в период сталинских репрессий российскому учёному, ботанику Феодосию Викторовичу Самбуку, чьё дело было полностью сфальсифицировано сотрудниками НКВД СССР.",российскому,COUNTRY,234,245,0
46,"Выждав удобный момент, они открывают огонь по сослуживцам или по военнослужащим и гражданскому персоналу НАТО.",военнослужащим,PROFESSION,65,79,-1
47,"Мать одного из подозреваемых, Нора Донда рассказала СМИ, что ее сын и его друг, который живет поблизости с отцом и бабушкой, это обычные студенты, которые весь день учатся в университете и только по выходным сидят перед компьютерами.",студенты,PROFESSION,137,145,1
48,"Президент Турции Реджеп Тайип Эрдоган, который поддерживал хорошие отношения с Мурси, выразил соболезнования: «Пусть Господь утешит душу нашего брата Мурси, нашего мученика».",Мурси,PERSON,79,84,1
49,Маргарет Тэтчер на похоронах Рональда Рейгана 11 июня 2004 года,Маргарет Тэтчер,PERSON,0,15,0
50,"Как отмечает Bloomberg, Лилиан Беттанкур жила в пригороде Парижа Нёйи-сюр-Сен.",Bloomberg,ORGANIZATION,13,22,0
51,"Споры о уровне комиссий между крупными американскими ритейлерами, в том числе Walmart, Amazon, Best Buy и Target, а также платёжными системами — Visa и MasterCard продолжается уже почти 10 лет.",американскими,COUNTRY,39,52,0
52,В течение жизни он отдал на благотворительность почти 2 миллиарда долларов США.,США,COUNTRY,75,78,0
53,"После войны она вышла замуж за филиппинского журналиста Вениньо С. Акино младшего, который после избрания Маркоса президентом в 1965 году стал лидером оппозиции.",президентом,PROFESSION,114,125,0
54,Владимир Машков на Первом Одесском международном кинофестивале,Владимир Машков,PERSON,0,15,0
55,Осенью 2015 года он по рекомендации вербовщика отправился в Сирию (по другим данным — в Ливию).,Сирию,COUNTRY,60,65,0
56,Теперь до конца сезона главным тренером «Спартака» будет Валерий Карпин.,главным тренером «Спартака,PROFESSION,23,49,0
57,Замечание пресс-секретаря прозвучало важно ещё и в разрезе достигшего вчера пика конфликта между Владиславом Сурковым и представителя Следственного комитета России Владимира Маркина.,Владиславом Сурковым,PERSON,97,117,-1
58,"По информации The Times, он являлся высокооплачиваемым и особо ценным агентом службы внешней разведки Великобритании MI6.",агентом службы внешней разведки Великобритании MI6,PROFESSION,70,120,0
59,"При этом он был вторым в США преступником, при чьей смертной казни применялся только пентобарбитал, обычно применяемый в хирургии для достижения общего наркоза.",США,COUNTRY,25,28,0
60,"Однако, приговоры могут вынудить Берлускони окончательно покинуть политику.",Берлускони,PERSON,33,43,0
61,18 апреля 2020 года Венгерский национальный банк объявил открытый конкурс на разработку проектов памятных монет.,Венгерский,COUNTRY,20,30,0
62,"После бегства из Украины Виктора Януковича Кернес стал одним из лидеров «Украинского фронта», заявлявшего о необходимости наведения порядка в стране.",Виктора Януковича,PERSON,25,42,0
63,"Однако в письме в поддержку Пекина, напротив, говорится о «выдающихся достижениях Китая в сфере защиты прав человека».",Китая,COUNTRY,82,87,1
64,"Эйсебио родился в 1942 году на территории современного Мозамбика, входившего тогда в число колониальных владений Португалии.",Эйсебио,PERSON,0,7,0
65,Совместно с Тамарой Владимирцевой Панин выступил режиссёром сериала «Полный вперед!» и фильма «Внук Гагарина».,Тамарой Владимирцевой,PERSON,12,33,0
66,"Соглашение обязывает боевиков Талибана не нападать на иностранные силы под командованием США, которые обязались постепенно выйти из Афганистана к июлю 2021 года в обмен на гарантии, данные талибами.",талибами,ORGANIZATION,189,197,0
67,"Диск, который был подписан Ленноном по просьбе Марка Чепмена, стал ключевой уликой при расследовании обстоятельств гибели музыканта в 1980 году.",музыканта,PROFESSION,122,131,0
68,Эти посты согласно пакетным договоренностям были «забронированы» за бывшим вице-премьером Александром Жуковым («Единая Россия») и Иваном Мельниковым (КПРФ).,вице-премьером,PROFESSION,75,89,0
69,В момент аварии в автобусе находились 44 человека — граждан России.,граждан России,NATIONALITY,52,66,0
70,Целями мероприятия являются выявление значимых проектов и персоналий Рунета и определение тенденций его развития.,Рунета,ORGANIZATION,69,75,0
71,"В проекте осуждаются ракетные испытания, проводимые Северной Корее, и напоминается об обещании придерживаться моратории на такие испытания.",Северной Корее,COUNTRY,52,66,-1
72,"Стефан планировал обратиться к властям города Кембриджа, где братья Царнаевы проживали последние десять лет, за разрешением похоронить Тамерлана на муниципальном кладбище.",Царнаевы,PERSON,68,76,0
73,Роман «Мастер и Маргарита» считается величайшим романом русской литературы XX века.,Мастер,PERSON,7,13,0
74,"Однако Алан Дзагоев, оформивший на 79-й минуте дубль, и Роман Павлюченко, вышедший на замену и установивший окончательный счет в матче, — 4:1 — сняли все вопросы об исходе встречи.",Роман Павлюченко,PERSON,56,72,1
75,"Оппонент Моралеса Хорхе Кирога (Jorge Quiroga) признал свое поражение, сказав: «Я поздравляю Эво Моралеса».",Эво Моралеса,PERSON,93,105,1
76,"The Times утверждает, что Диего Симеоне станет преемником Моуринью.",Диего Симеоне,PERSON,26,39,0
77,"Такой запрет со стороны России вызвал резкую реакцию Беларуси: президент Лукашенко заявил, что Россия нарушает нормы Таможенного союза:",Россия,COUNTRY,95,101,-1
78,"Накануне Полтавской битвы мимо Стародуба, где в хозяйском доме хранилась икона, шли войска шведов.",шведов,NATIONALITY,91,97,0
79,После этого в коалиционном правительстве Владимира Шпидлы в 2002-2003 годах Руснок исполнял обязанности министра промышленности и торговли.,Владимира Шпидлы,PERSON,41,57,0
80,"Вызов на станцию скорой помощи поступил от прохожего, ''«бригада медиков прибыла на место ДТП с 7-й подстанции скорой помощи через шесть минут»'', однако помочь пострадавшим уже не смогла.",медиков,PROFESSION,65,72,0
81,После начала протестов Министерство внутренних дел приступило к повторному расследованию дела.,Министерство внутренних дел,ORGANIZATION,23,50,-1
82,"ODS имеет в 200-местной Нижней палате чешского парламента 53 депутата, TOP 09 - 41.",ODS,ORGANIZATION,0,3,0
83,Первообраз хранится в церкви святителя Николая Чудотворца в селе Балыкино Погарского района Брянской области.,Николая Чудотворца,PERSON,39,57,0
84,"Оцепленными также остаются ещё четыре места в Солсбери — дом Скрипаля, паб ''Bishopʼs Mill'', скамейка в парке, где были найдены отравленные, и кладбище, где похоронены жена и сын бывшего разведчика.",Скрипаля,PERSON,61,69,0
85,"Ранее эту же информацию сообщал представитель движения «Братья-мусульмане»: «Мурси изолировали от его помощников, он помещен в здание министерства обороны».",министерства обороны,ORGANIZATION,134,154,0
86,"Там также в этот момент находились представители немецкой концертной компании Semmel Concerts, которые выступили организаторами.",немецкой,COUNTRY,49,57,0
87,"Возможно, дело в том, что о рокировке Пейджа и Шмидта Google сообщил одновременно с публикацией финансовых итогов года.",Пейджа,PERSON,38,44,0
88,"48-летний Владимир Макеенко (Володимир Володимирович Макеєнко) — украинский политический деятель, соавтор Декларации о государственном суверенитете Украины ruuk и Акта провозглашения независимости Украины.",Украины,COUNTRY,197,204,0
89,Умер раненный в Афганистане американский военный,Афганистане,COUNTRY,16,27,0
90,Чжан Инъин родилась в семье китайских рабочих в Наньпине провинции Фуцзянь.,рабочих,PROFESSION,38,45,0
91,"Бакинский суд по тяжким преступлениям приговорил сегодня, 20 июля 2017 года, российско-украинско-израильского блогера Александра Лапшина к трём годам тюрьмы за незаконное пересечение границы контролируемого сепаратистами Нагорного Карабаха.",Александра Лапшина,PERSON,118,136,-1
92,"Американский самолёт в Афганистане, 2008 год",Афганистане,COUNTRY,23,34,0
93,"Кандидатке на пост президента 54 года, она родом с севера страны и ранее работала в парламенте Мали, где занималась проблемами женщин и детей.",парламенте Мали,ORGANIZATION,84,99,0
94,Адвокат Александра Кокорина Андрей Ромашов прокомментировал приговор суда:,Адвокат,PROFESSION,0,7,0
95,"Чавес настроил против себя Соединенные Штаты и ряд других государств, после того как национализировал крупные компании и получил расположение таких мировых лидеров как Фидель Кастро на Кубе, Махмуд Ахмадинеджад — в Иране и Муаммар Каддафи — в Ливии.",Фидель Кастро,PERSON,168,181,1
96,"По некоторым данным, его имя при рождении — Дудаев Асламбек Андарбекович.",Дудаев Асламбек Андарбекович,PERSON,44,72,0
97,"25 октября он объявил о том, что управляющий небольшого фонда в Коннектикуте Тодд Коумс (Todd Combs) станет инвестиционным менеджером компании Berkshire Hathaway, причем под его руководство будет отдана ""значительная часть"" активов компании.",Тодд Коумс,PERSON,77,87,1
98,Российский блогер Александр Лапшин приговорён в Азербайджане к трём годам тюрьмы за посещение Карабаха,Азербайджане,COUNTRY,48,60,0
99,Об этом PanARMENIAN.Net сообщило представительство Нагорно-Карабахской республики (НКР) в США.,представительство Нагорно-Карабахской республики,ORGANIZATION,33,81,0
100,"Ставку тренеры будут делать на тамбовских игроков, но и иногородним спортсменам путь в клуб не заказан.",спортсменам,PROFESSION,68,79,0
101,"У созданной ими программы результаты оказались на 35 % лучше, чем у профессионального «считывателя» по губам.",профессионального «считывателя» по губам,PROFESSION,68,108,0
102,Впервые международные террористические организации отчётливо сформулировали свои требования к германскому правительству: в течение двух недель после выборов вывести из Афганистана свой воинский контингент.,Афганистана,COUNTRY,168,179,0
103,"На следующий день в субботу приступ повторился и врачи увезли Арканова в Центральную клиническую больницу, где он через неделю скончался.",Арканова,PERSON,62,70,0
104,"«Согласно конституции, если инаугурация президента по какой-либо причине не может состояться перед Национальной Ассамблеей, он может сделать это перед Верховным судом; при этом не указано, как и когда, — сказал поддерживающий Чавеса законодатель Хосе Авила.",Верховным судом,ORGANIZATION,151,166,0
105,"Так, ему принадлежит около 3 процентов акций Google, что, по их нынешней цене, равняется почти семи миллиардам долларов.",Google,ORGANIZATION,45,51,0
106,"Идея проекта принадлежит продюсеру Александру Бондареву, который был другом Елизаветы Глинки и работал как волонтёр в её фонде.",Елизаветы Глинки,PERSON,76,92,1
107,Таможенный контроль со стороны Беларуси возобновился после введение Россией запрета на импорт продовольственной продукции белорусских предприятий Россельхознадзором и введения Россией таможенных проверок транзита товаров из Беларуси в Казахстан.,Россельхознадзором,ORGANIZATION,146,164,-1
108,В Косово убит ведущий сербский политик Оливер Иванович,политик,PROFESSION,31,38,0
109,Американский Forbes в 2018 году оценил состояние Гейтса в $90 млрд.,Американский,COUNTRY,0,12,0
110,При этом указания на секретные тюрьмы в Польше и Румынии всплывают вновь и вновь.,Румынии,COUNTRY,49,56,-1
111,"В другом эксперименте Минников доказал, что во время отсутствия интернета у школьников улучшается самочувствие и «у них появляется больше свободного времени».",Минников,PERSON,22,30,0
112,По паспорту Владимиру Этушу исполняется 94 года.,Владимиру Этушу,PERSON,12,27,0
113,"В 2016 году в возрасте 23 лет она стала послом доброй воли Управления ООН по наркотикам и преступности, по торговле людьми в условиях конфликта.",ООН,ORGANIZATION,70,73,0
114,"Кроме того, на нем лежит ответственность по управлению всеми сельскохозяйственными активами Berkshire Hathaway, объединенными в компанию Buffett Farms.",Buffett Farms,ORGANIZATION,137,150,0
115,"ФБР и полиция Чехии в среду, 19 октября 2016 года, арестовали в Праге российского гражданина по подозрению в причастности к кибератакам против США.",ФБР,ORGANIZATION,0,3,-1
116,"В заявлении также говорится, что погибший полицейский был охранником Мосийчука.",полицейский,PROFESSION,42,53,0
117,Руководство движения «Братья-мусульмане» и другие сторонники отстранённого президента также подвергаются арестам.,Руководство движения «Братья-мусульмане»,PROFESSION,0,40,0
118,"Как следует из переписки, опубликованной Трампом-младшим, он с энтузиазмом согласился встретиться с женщиной, которую ему представили как адвоката российского правительства, возможно, располагавшего разоблачительной информацией о кандидате в президенты от демократов Хиллари Клинтон в рамках усилий Москвы по поддержке его отца.",Хиллари Клинтон,PERSON,267,282,-1
119,"Официальный представитель Талибана Забиулла Муджахид у себя в твиттере утверждает, что в результате атаки талибов в деревне Ахунд Баба в районе Бараки Барак были убиты «5 американских захватчиков и 9 наёмников», со стороны талибов погибло «2 муджахида».",американских захватчиков,PROFESSION,171,195,-1
120,"По его словам, он намерен отменить часть принятых Бараком Обамой мер, направленных на нормализацию отношений с Кубой после полувековой изоляции.",Бараком Обамой,PERSON,50,64,-1
121,"Среди других звезд, выразивших свой протест против пресловутого закона — американский шоумен с телеканала Bravo Энди Коэн, который ранее вел конкурсы «Мисс Вселенная».",американский,NATIONALITY,73,85,0
122,Президент Израиля Реувен Ривлин и премьер-министр Биньямин Нетаньяху обратились к Путину с просьбами о помиловании девушки.,премьер-министр,PROFESSION,34,49,0
123,"После этого он дважды переназначался на этот пост после отмены прямых выборов: в 2005г. - по представлению Владимира Путина, тогда президента России, и в 2010г. - по представлению действующего главы государства Дмитрия Медведева.",главы государства,PROFESSION,193,210,0
124,"Газета «Гардиан» приводит также высказывание одного иранского офицера, что британские много раз моряки заходили в иранские территориальные воды.",моряки,PROFESSION,96,102,0
125,"На северодвинской сцене роли исполняли: Сергей Виконтович Астахов (Козлов) (''Роберт Кэплен''), Эвелина Висвальдовна Блёданс (''Фреда''), Татьяна Альбертовна Абрамова (''Олуэн Пиил''), Ольга Альбертовна Арнтгольц (Бетти),  Андрей Игоревич Харитонов (''Чарльз Трэвор Стэнтон''),  Вахтанг Ираклиевич Беридзе (''Гордон Уайтхауз'').",Олуэн Пиил,PERSON,170,180,0
126,Сопредседателями с грузинской стороны стали первый заместитель министра иностранных дел Давид Залкалиани и советник министра обороны Шота Гвинерия.,грузинской,COUNTRY,19,29,0
127,"При этом банк «Пересвет» возложил ответственность за неудачное размещение облигаций, помешавшее привлечь два миллиарда рублей, на средства массовой информации",средства массовой информации,ORGANIZATION,130,158,-1
128,"Газета «Гардиан» приводит также высказывание одного иранского офицера, что британские много раз моряки заходили в иранские территориальные воды.",Гардиан,ORGANIZATION,8,15,0
129,2 февраля 1997 года тело задушенного Солоника было обнаружено недалеко от Афин.,Солоника,PERSON,37,45,0
130,"Эти статьи предусматривают наказание до пяти лет тюремного заключение, но вынесение такого вердикта маловероятно, учитывая обращение прокурора.",прокурора,PROFESSION,133,142,0
131,"Связанное с Исламским государством агентство Amaq назвало Шекатта своим «солдатом», который «осуществил эту операцию в ответ на призывы сделать мишенью граждан стран коалиции».",Amaq,ORGANIZATION,45,49,1
132,"Компания считает, что правительство США завысило их на 20—50 %.",правительство США,ORGANIZATION,22,39,-1
133,"Однако в четверг представитель неправительственной организации ""Сеть поддержки выборов в Зимбабве"" (Zimbabwe Election Support Network, ZESN) назвал результаты мониторинга процесса выборов ""катастрофой"" для Цвангираи.",Цвангираи,PERSON,206,215,-1
134,"Заявление Дональда Трампа-младшего о том, что его встреча с российским адвокатом в июне 2016 года не была связана с предвыборной кампанией его отца, продиктовал сам президент Дональд Трамп, сообщила газета ''Washington Post''.",адвокатом,PROFESSION,71,80,0
135,Однако многие поклонники Бандеры старались не афишировать его сотрудничество с нацистской Германией в борьбе за независимость Украины в качестве лидера Организации украинских националистов (ОУН).,Бандеры,PERSON,25,32,-1
136,"Болгарское правительство уходит в отставку после массовых протестов, вызванных сильным сокращением социальных расходов и резким увеличением цен на электроэнергию, сообщает агентство ''Reuters''.",Болгарское,COUNTRY,0,10,0
137,Жозе Моуринью пока является самым успешным тренером в истории Челси.,Челси,ORGANIZATION,62,67,0
138,"Мюррей признан виновным в смерти Джексона из-за того, что он прописал певцу мощный анестетик «Пропофол» для сна, а затем не проконтролировал должным образом состояние Джексона.",Мюррей,PERSON,0,6,-1
139,"Сборная России по футболу должна набрать шесть очков в ближайших отборочных матчах чемпионата Европы 2012 года с командами Македонии и Ирландии, которые состоятся 2 и 6 сентября соответственно.",России,COUNTRY,8,14,0
140,Фотожурналист из Швеции Пол Хансен стал лауреатом премии «World Press Photo» в номинации «фотография года».,Швеции,COUNTRY,17,23,0
